barcode,name,category
6001038072551,Robertsons Mixed Herbs,Condiments
6001240200049,Ace Instant Maize Porridge,Cereals
6001007082103,Five Roses Tea,Tea
6001038022556,Robertsons Chicken Spice,Condiments
6009900424361,Almond Breeze Macadamia Milk,Beverages
6009692191199,Woolworths Sourdough Bread,Bread
6002522008414,Six Gun Grill Seasoning,Condiments
6006507007454,Ina Paarman Lemon Herb Rub,Condiments
6001030000798,All Gold Tomato Sauce,Condiments
6001007029009,Five Roses Tagless Tea Bags,Tea
6001068006003,Nescafe Gold Instant Coffee,Beverages
6009522300050,Koo Peach Slices,Canned Food
6009880412563,Twizza Orange 2L,Beverages
6009510806861,Pepsi 2L,Beverages
6009694630733,Kingsley Cola 2L,Beverages
6009694630801,Kingsley Lemonade 2L,Beverages
6009880412587,Twizza Lemon & Lime 2L,Beverages
6001134087305,Sparletta Creme Soda 2L,Beverages
6001299010576,Clover Krush Cranberry 1.5L,Beverages
6001299043017,Clover Mango & Peach Juice 2L,Dairy
6009708050465,Score Energy Drink 500ml,Beverages
6009691358807,Reboost Energy Drink 500ml,Beverages
6009803982470,Play Energy Drink 500ml,Beverages
6009803982432,Element Energy Drink 500ml,Beverages
6009880243013,Valpre Still Water 500ml,Beverages
6009612470045,Aquelle Still Water 500ml,Beverages
6009612470625,Aquelle Still Water 750ml,Beverages
6009612470168,Aquelle Sparkling Flavoured Water 500ml,Beverages
6009612470083,Aquelle Sparkling Water 500ml,Beverages
6009900028200,Bonaqua Still Water 500ml,Beverages
6001008617126,Spar Natural Spring Water 500ml,Beverages
6009644997176,Steri Stumpie Vanilla Milkshake 500ml,Dairy
6007414003263,Douglasdale Full Cream Milk 2L,Dairy
6002138009515,Fair Cape Full Cream Milk 1L,Dairy
6001007041052,PnP Full Cream Long Life Milk 1L,Dairy
6001001271073,Parmalat Full Cream Milk 1L,Dairy
6009171079987,Parmalat Long Life Full Cream Milk 1L,Dairy
6001415001600,Bonnita Long Life Milk 1L,Dairy
6001415001594,Bonnita Long Life Milk 500ml,Dairy
6001224162295,Nola Low Fat Milk 2L,Dairy
6001299020063,Clover The One Low Fat Milk 2L,Dairy
6001299000621,Clover Low Fat Fresh Milk 2L,Dairy
6009538001521,Alpro Oat Milk 1L,Dairy
6001224583809,Nola Oat Milk 1L,Dairy
6001008156199,Spar Full Cream Milk 2L,Dairy
6001001926546,Parmalat Full Cream Milk Powder 500g,Dairy
6009171079970,Parmalat Long Life Low Fat Milk 1L,Dairy
6007414004383,Douglasdale Long Life Low Fat Milk 1L,Dairy
6001253500303,Albany Vanilla Tinkie,Snacks
6009803631682,Go-Slos Cheese & Onion 100g,Snacks
6009510802542,Doritos Sweet Chilli 45g,Snacks
6009510802924,Simba Salted Peanuts 50g,Snacks
6009710721186,Lays Argentinian Creamy Pepper Steak,Snacks
6009510809008,Lays Sweet Smoky BBQ 36g,Snacks
6009710723586,Doritos Grilled BBQ Corn Chips,Snacks
6009510809442,Lays Mexican Chilli 120g,Snacks
6009510809497,Simba Roarrrs Cheese & Onion,Snacks
6009710720608,Lays Thai Sweet Chilli,Snacks
6009510804348,Lays Mexican Chilli 36g,Snacks
6009510803389,Fritos Sweet Chilli 25g,Snacks
6009510800197,Ghost Pops Original Maize Snack,Snacks
6009645796877,Snack-It Spicy Tomato 100g,Snacks
6006323632786,Woolworths Mexican Chilli Crisps 36g,Snacks
6009645796853,Snack-It Spicy Tomato 20g,Snacks
6009645796662,Snack-It Sweet BBQ 20g,Snacks
6009710721537,Doritos Cheese Supreme Corn Chips,Snacks
6009710723944,Lays Potato Chips 120g,Snacks
6001056414531,Bakers Mini Cheddars Fruit Chutney 33g,Snacks
6001056412810,Bakers Romany Creams,Snacks
6009704170563,Bakers Good Morning Breakfast Biscuits,Snacks
6001065601236,Cadbury Dairy Milk Fruit & Nut,Confectionery
6009188006266,Bar One,Confectionery
6001068595808,Bar One 55g,Confectionery
6001120607043,Beacon Jelly Tots 100g,Confectionery
6009188002749,KitKat 20g,Confectionery
6001065034324,Cadbury Astros 40g,Confectionery
6001065601052,Cadbury White Shortcake Biscuit,Confectionery
6001120016630,Beacon Wonderbar,Confectionery
6001068375707,Nesquik Strawberry Drink 250g,Beverages
6001306002389,Kelloggs Instant Noodles Beef,Snacks
6009704170136,Bakers Topper Mint Choc,Snacks
6001241006206,Illovo Golden Syrup 500g,Condiments
6001299029042,Clover Custard Vanilla 1kg,Dairy
6001069034139,Hellmanns Smooth Peanut Butter 250g,Spreads
6001275000072,Jungle Oats 2kg,Cereals
6001710010420,Sasko Low GI Seeded Brown Bread,Bread
6009204547407,Woolworths Crushed Wheat Sourdough,Bread
6001231002393,Tastic Wholegrain Brown Rice 2kg,Cereals
6009522310295,Black Cat Smooth Peanut Butter 800g,Spreads
6001224589573,Nola Tangy Mayonnaise 750g,Condiments
6001009012685,Yum Yum Smooth PB No Salt No Sugar,Spreads
6001306000903,Kelloggs All-Bran Flakes,Cereals
6001001524889,Saldanha Light Meat Tuna in Water,Canned Food
6009522300609,Black Cat Smooth Peanut Butter 800g,Spreads
6008000440578,Woolworths Reduced Oil Tangy Mayo,Condiments
6001710010369,Sasko Low GI Whole Wheat Brown Bread 800g,Bread
6005044000379,KOO Baked Beans in Tomato Sauce 410g,Canned Food
6002504000016,Mr Pasta Macaroni 500g,Pasta
6001582051095,Sunfoil Cooking Oil,Cooking Oil
6001038204556,Rajah Curry Powder 100g,Condiments
6001205051778,Iwisa Super Maize Meal 1kg,Cereals
6001365001958,Bee Keeper Pure Honey 375g,Spreads
6009645790011,Snack-It Strawberry Cream Biscuits,Snacks
6001010001777,Freddy Hirsch Braai Spice,Condiments
6001068660902,Maggi 2 Minute Noodles Durban Curry,Snacks
6005044005534,All Gold Tomato Paste,Canned Food
6001241006220,Illovo Maple Flavoured Syrup 500g,Condiments
6009522300456,Black Cat Crunchy PB No Salt No Sugar 800g,Spreads
6009522300616,Black Cat Crunchy Peanut Butter 800g,Spreads
6001299240232,Danone Yoghurt 6x100g,Dairy
6001156230062,Five Roses Ceylon Blend Tea,Tea
6006822002288,Tetley Green Tea,Tea
6009645681012,Huletts Brown Sugar 500g,Baking
6001114000324,Stork Butter 1kg,Dairy
6001205730321,Iwisa Brown Bread,Bread
6001224182019,Fatti and Monis Pasta 400g,Pasta
6009801741093,Morvite Instant Cereal 500g,Cereals
6001030003577,All Gold Sweet Chilli Sauce 700ml,Condiments
6009905333408,Pure Kombucha Lemon Ginger 250ml,Beverages
6001087011341,Knorr Vegetable Stock Pot,Condiments
6003678948005,Safari Dark Chocolate Ginger Cubes 100g,Confectionery
6003678945660,Jimmys Flavoured Cashew Nuts 100g,Snacks
6001120624941,Beacon Jelly Beans,Confectionery
6009900424385,Almond Breeze Oat Milk 1L,Dairy
6009645791315,Snack-It Shibobo Chocolate,Confectionery
6009684046810,Future Life Meal Strawberry 400g,Cereals
6009900528670,Almond Breeze Cocoa Oat Milk 1L,Dairy
6001007162474,PnP Full Cream Fresh Milk 2L,Dairy
6007251000012,Lancewood Full Cream Milk 1L,Dairy
6009522305734,Benny Mayonnaise Sachet 17g,Condiments
6001224527377,Nola Mixed Berry Muesli 350g,Cereals
6001038222154,Robertsons Ground Cinnamon,Condiments
6006081001220,Thokoman Smooth Peanut Butter,Spreads
5449000000439,Coca-Cola Original 1.5L,Beverages
5449000009067,Coca-Cola 2L,Beverages
5449000000453,Coca-Cola 500ml,Beverages
5449000664686,Coca-Cola 440ml,Beverages
5449000140906,Coca-Cola 440ml Can,Beverages
5449000025173,Coca-Cola Less Sugar 2.25L,Beverages
5449000009500,Coca-Cola Cherry 330ml,Beverages
5449000010049,Fanta Orange 2L,Beverages
5449000025234,Fanta Orange 1.25L,Beverages
5449000027085,Fanta Orange 2L Returnable,Beverages
5449000664761,Fanta Orange Zero 440ml,Beverages
5449000110305,Fanta Pineapple 1.25L,Beverages
40822921,Fanta Orange 300ml,Beverages
5449000234636,Sprite 2L,Beverages
5449000234612,Sprite 1L,Beverages
5449000027559,Sprite 1.25L Returnable,Beverages
5449000234643,Sprite Lower Sugar 440ml,Beverages
5449000664785,Sprite Zero 440ml,Beverages
54033924,Sprite 250ml,Beverages
5449000060082,Twist Lemon 2L,Beverages
5449000046581,Schweppes Lemonade 200ml,Beverages
5449000284303,Schweppes Dry Lemon 1L,Beverages
5449000320285,Schweppes Dry Lemon 400ml,Beverages
5449000230164,Stoney Ginger Beer Zero 500ml,Beverages
5449000332981,Stoney Ginger Beer 500ml,Beverages
5449000664846,Sparletta Creme Soda 440ml,Beverages
5449000107664,Bonaqua Still Water 500ml,Beverages
5449000129567,Bonaqua Pump Still Water 750ml,Beverages
5449000107787,Valpre Spring Water 1.5L,Beverages
54490482,Powerade Mountain Blast 500ml,Beverages
90492501,Powerade Naartjie 500ml,Beverages
9002490100070,Red Bull 250ml,Beverages
6004052000463,Jive Sparkling Ginger 2L,Beverages
6001133000138,Schweppes Soda Water 2L,Beverages
6009880412518,Twizza Cola 2L,Beverages
6001224641974,Popz Bubble Gum Flavour 2L,Beverages
6001299025440,Clover Full Cream Milk 500ml,Dairy
6001299044601,Clover Super M Chocolate 300ml,Dairy
6001299044519,Clover Super M Strawberry 300ml,Dairy
6001299049620,Clover Krush Apple Juice 1.5L,Dairy
6001299045820,Clover Krush 6 Fruits & Fibre 1.5L,Dairy
6001299600388,Clover Krush 6 Fruit & Vitamins 1.5L,Dairy
6001299010651,Clover Krush Tropical 500ml,Dairy
6001299600364,Clover Krush 6 Fruit & Vitamins 500ml,Dairy
6001299010101,Clover Krush Orange 500ml,Dairy
6001299049668,Clover Krush Apple 500ml,Dairy
6001299010118,Clover Krush Mango 500ml,Dairy
6001299033667,Clover Bliss Black Forest Yoghurt 1kg,Dairy
6001299033759,Clover Bliss Hazelnut Yoghurt 1kg,Dairy
6001299027321,Clover Double Cream Plain Yoghurt 500g,Dairy
6001299012082,Clover Fresh Cream 250ml,Dairy
6001299011917,Clover Fresh Cream 500ml,Dairy
6001299695193,Clover Feta Mixed Herbs 200g,Dairy
6001299030536,Clover Chocolate Milk,Dairy
6001253010208,Albany Superior White Bread 700g,Bread
6001253010222,Albany Low GI White Bread 700g,Bread
6001253010246,Albany Best of Both Bread 700g,Bread
6001253500129,Albany Everyday White Bread 600g,Bread
6001253500136,Albany Everyday Brown Bread 600g,Bread
6001710010390,Sasko Premium White Bread 700g,Bread
6001710010413,Sasko Low GI Brown Bread 700g,Bread
6001710010437,Sasko Toaster White Bread 700g,Bread
6001710010505,Sasko Dumpy White Bread 400g,Bread
6001710010512,Sasko Dumpy Brown Bread 400g,Bread
6009629181088,Blue Ribbon Brown Bread 700g,Bread
6009629181095,Blue Ribbon White Bread 700g,Bread
6009629181101,Blue Ribbon Low GI Brown Bread 700g,Bread
6001205730314,Iwisa White Bread 700g,Bread
6001205730338,Iwisa Brown Bread 700g,Bread
6001253500150,Albany Rusks Buttermilk 500g,Bread
6001253500167,Albany Rusks Condensed Milk 500g,Bread
6001710010574,Sasko Rusks Buttermilk 500g,Bread
6009629181118,Blue Ribbon Rusks Buttermilk 500g,Bread
6001253010260,Albany Wholewheat Bread 700g,Bread
6001710010581,Sasko Wholewheat Bread 700g,Bread
6001253500174,Albany Hot Dog Rolls 6 Pack,Bread
6001253500181,Albany Burger Buns 4 Pack,Bread
6001710010598,Sasko Hot Dog Rolls 6 Pack,Bread
6001710010611,Sasko Burger Buns 4 Pack,Bread
6001253010284,Albany Seed Loaf 700g,Bread
6009629181125,Blue Ribbon Wholewheat Bread 700g,Bread
6001205730345,Iwisa Low GI Brown Bread 700g,Bread
